Play_Title,Year 1,Year 2,Genre,Number_of_Speeches
Antony and Cleopatra,1606.0,,Tragedy,1361
Othello,1603,1604,Tragedy,1309
Troilus and Cressida,1600,1602,Tragedy,1301
Hamlet,1599,1601,Tragedy,1250
Coriolanus,1608.0,,Tragedy,1240
Richard III,1592,1593,Tragedy,1224
King Lear,1605,1606,Tragedy,1181
The Merry Wives of Windsor,1597.0,,Comedy,1163
Love's Labour's Lost,1594,1595,Comedy,1123
Much Ado About Nothing,1598,1599,Comedy,1062
All's Well That Ends Well,1604,1605,Comedy,1034
Twelfth Night,1601.0,,Comedy,1031
Romeo and Juliet,1595.0,,Tragedy,989
Measure for Measure,1603,1604,Comedy,987
"Henry IV, Part 2",1597,1598,History,987
Cymbeline,1610.0,,Romance,979
The Taming of the Shrew,1590,1591,Comedy,965
"Henry VI, Part 3",1591,,History,949
The Two Gentlemen of Verona,1589,1591,Comedy,943
"Henry VI, Part 2",1591,,History,921
Julius Caesar,1599.0,,Tragedy,895
As You Like It,1599,1600,Comedy,872
Timon of Athens,1605,1606,Tragedy,870
Henry V,1599.0,,History,853
The Winter's Tale,1609,1611,Romance,814
Henry VIII,1612,1613,History,788
"Henry VI, Part 1",1591,1592,History,787
"Henry IV, Part 1",1596,1597,History,787
Macbeth,1606.0,,Tragedy,765
"Pericles, Prince of Tyre",1607,1608,Romance,756
The Merchant of Venice,1596,1597,Tragedy,722
The Tempest,1610,1611,Romance,702
The Comedy of Errors,1594.0,,Comedy,664
Titus Andronicus,1591,1592,Tragedy,662
Richard II,1595,,History,636
King John,1596.0,,History,621
A Midsummer Night's Dream,1595.0,,Comedy,605
